patch	channels	sample_rate	frames	pcm16_sha256
examples/mono/chaos_mono_30.yaml	1	48000	48000	04b220cb8822d18957b821f4f6eba8f6ad45a89f7d3908a4cc44d6d6e92de863
examples/mono/chaos_mono_35.yaml	1	48000	48000	43bab26e482294b5150ea8c1257115f8ac9ddb747d91e0318521ef460d628d81
examples/mono/chaos_mono_40.yaml	1	48000	48000	f3f99e020042feee6ae80fa32f098dda9f5e20177f684c48db993021ec8c85bb
examples/mono/chaos_mono_50.yaml	1	48000	48000	33a99435d99456a3a6a7de6d9e88e882326553cb1fdcd48c2ef1e1b07fe29c3a
examples/mono/drone_mono_16.yaml	1	48000	48000	00c718527f9c4546b488438de74b3c1172a91b30d1f2292880929f4cde10d4b7
examples/mono/glitch_mono_02.yaml	1	48000	48000	63a189bc3f9367bab85a597d722f1b81d96a84172f7b8cc1f1dd1a33250dd8a0
examples/mono/glitch_mono_26.yaml	1	48000	48000	ec5021b474075bae620e0ffbf507f2cc5260449323404daa27a087d824b50b52
examples/mono/glitch_mono_32.yaml	1	48000	48000	7d84528a3fd92e7267ee66cee8293af946c1698c8ec15fc7ed53975e32a09668
examples/mono/glitch_mono_38.yaml	1	48000	48000	ca6e41a1ff7e7a7b189d7bc357638a568bdac7389bc59694208ecf13777fd828
examples/mono/glitch_mono_39.yaml	1	48000	48000	ebd162657d08ac24f16bfde979bb5fc3d45d226a5efd2113076ce9dbfd00671c
examples/mono/glitch_mono_42.yaml	1	48000	48000	b98143cfc1d9bc78db3229a1655b56241a08cce98c993a6aacb4773956aa8156
examples/mono/mpe_mono_03.yaml	1	48000	48000	4187628082b292f6ba6f7c87aa6fc1aa49cbf888c9b0315f515edda058c9d286
examples/mono/mpe_mono_09.yaml	1	48000	48000	914e189ea1e2d57e6bdee0f9608de4ad81a44e43b544dfa19831f9d631f57c6d
examples/mono/mpe_mono_14.yaml	1	48000	48000	e547eed317fe24c39854f6f838c7d57ba971b314963ed6ae9f60f268e8f44afb
examples/mono/mpe_mono_27.yaml	1	48000	48000	a9f7b4c026a1083a17bca1b04d423050279dbd7cc8582b141bb433d066275068
examples/mono/mpe_mono_31.yaml	1	48000	48000	16bc1bfaed09a120c1d07e64153bab1249bb16a6908c02d0c974425c518d9acf
examples/mono/mpe_mono_33.yaml	1	48000	48000	128baf4ccaae380767e6f79012d0b15e73efdb161799e21712312856e4204512
examples/mono/mpe_mono_34.yaml	1	48000	48000	b7dba937395c967d29ac018c3fec87e03c629d16207b2959e246675d3b44fe74
examples/mono/pitch_shift_mono_01.yaml	1	48000	48000	728c6dfbc52454333378eba5f4002ec2d9709eabab8ff4b92324d994adb1371d
examples/mono/pitch_shift_mono_05.yaml	1	48000	48000	dc48bb210579e001223b7e7913fea3ede98459b73fbab3b88c2cff793cee8c85
examples/mono/pitch_shift_mono_11.yaml	1	48000	48000	543ef80834649156b04aadb59a62e12f6cafa1ba83a045d67eae5d84c766c6e2
examples/mono/pitch_shift_mono_12.yaml	1	48000	48000	162cba0a66d54484e3df606a81bb143e1d995022383eea76e6b5efb8bc782f23
examples/mono/pitch_shift_mono_24.yaml	1	48000	48000	9f3509fc4699617d1c4babb9104549f36bfb612529de8b9d5bd669ceb304eb90
examples/mono/pitch_shift_mono_28.yaml	1	48000	48000	7aa7ec70842b66ceabba741a0a87db87a29fde531a514398103c0548b75f7399
examples/mono/rhythm_mono_15.yaml	1	48000	48000	b670bb653214f1db427614bf0ae350ac266563fa06183dba498fff605bf81e17
examples/mono/rhythm_mono_17.yaml	1	48000	48000	6b6d0dcda01488138222dfadc74bc4fec60025ed590753bb6fa55b5b459acd2e
examples/mono/rhythm_mono_19.yaml	1	48000	48000	c065399024c1cda8eec9ecb243bacf62be16151437feb9cd85ee4c38251542db
examples/mono/rhythm_mono_22.yaml	1	48000	48000	3de4d68f571adc869b2cbe111f957a3c2323203dc5e1894b57459701a2f31ceb
examples/mono/rhythm_mono_23.yaml	1	48000	48000	9de4dbbd97f0f25acbf1de3c4dd3f4ee48be83de7307f683a208a1d0c0309b2c
examples/mono/rhythm_mono_45.yaml	1	48000	48000	b4986c99edd4a2b2cf1c7b37e394cdbfb00b05e6cfc29bfdbde7164d84794684
examples/mono/rhythm_mono_46.yaml	1	48000	48000	b114e7c56c662e9b9517d3fb5fb878e642b01d097a554b8d96458cdb774735b9
examples/mono/rhythm_mono_49.yaml	1	48000	48000	6faaababf71a74875e922ba9be5e13d4c05b092ac6f2ea7003d45bcf84f2ab5e
examples/mono/texture_mono_06.yaml	1	48000	48000	0a05fee671543389af65411a743d76b797cc43375be3fa9e141debc972528dc2
examples/mono/texture_mono_07.yaml	1	48000	48000	e0b547d4bf003660dd12d55ccfda3d62ffb8fdd2a4517aa2c6783f6dd7c3991f
examples/mono/texture_mono_10.yaml	1	48000	48000	c693779ccdcbaf1c3ce86832f792d0e6c1e95e5b524730f38b139e84258f0669
examples/mono/texture_mono_21.yaml	1	48000	48000	351ec5662db05e30c495e98add1a8db77b9307f81a6db75dc4f2aecb58eb599d
examples/mono/texture_mono_25.yaml	1	48000	48000	1ce221cacc31231e51e387fdacd75423700e22491c9389012a8aa3840a815fd6
examples/mono/texture_mono_36.yaml	1	48000	48000	c61505b85db7191630d37a793a17f17f26c3b0670e0b894f696756a96e20da40
examples/mono/texture_mono_41.yaml	1	48000	48000	300dfeb1a7d65023443b4b1a129e186385e7ef8f6f69e290acd73d7cdfe37f32
examples/mono/texture_mono_48.yaml	1	48000	48000	1c4b963f34937750ed871d06d2f9466f2f141e494475d3a6ee6a87bb006aeb6b
examples/mono/time_stretch_mono_18.yaml	1	48000	48000	94eef0d54a4445acb0ef6db6d7109cf78e962482c6dcd52587592908704a1f13
examples/mono/time_stretch_mono_37.yaml	1	48000	48000	0b47cfbc95aea4bb0c0a0af97186fd538a299e52ba8dc98f05137e98b17d08c5
examples/mono/time_stretch_mono_43.yaml	1	48000	48000	788f38176f41ccaf30c5b5aa60d0fad3dae0c88b777977aebd3a7d1f9269deaf
examples/mono/time_stretch_mono_44.yaml	1	48000	48000	80a9015f9acbde20debc3de46ba1c7e77a87a8abe14b9b03307258ac68ee0032
examples/mono/time_stretch_mono_47.yaml	1	48000	48000	7b88336074cf5db47a0367d9204f3b7b618984c896664adcc3218d9f37958477
examples/mpe_test.yaml	2	48000	48000	33951b872b9845887ac3f6332fcf6a19813665fd1154991c0f9d89e970ab9709
examples/multichannel/chaos_multichannel_02.yaml	8	48000	48000	e80e01c6407f1fc5bd851d298c2a1493cca21c95d55c0cca0e88c4c78f1f359e
examples/multichannel/chaos_multichannel_03.yaml	8	48000	48000	a5d9877c2b356f34f7ea20208f7b3047baf0b9fc873ec599e93e395794077e9b
examples/multichannel/chaos_multichannel_04.yaml	8	48000	48000	18a1e7d0006fea73132bbc7b56a197f9546e916f42bc979ff077e9080c3fc48d
examples/multichannel/chaos_multichannel_27.yaml	8	48000	48000	816cacd6b8a998ff11dc2aeb2e658c54901c5d657012a49cb62ecef67188c474
examples/multichannel/chaos_multichannel_29.yaml	8	48000	48000	59d38ed7648aa825bd47fed74187b236536b7f709b36365372510cf8e7b6976f
examples/multichannel/chaos_multichannel_31.yaml	8	48000	48000	b17248a5d55eb2e0ca412dc3214920e9a81ecc3e243b3cb852fb5cc5dce75d00
examples/multichannel/chaos_multichannel_34.yaml	8	48000	48000	63efc1cffa42f8a63def4c8b8d8f02b19a708d6e5090af89e28ee43d5a77eeed
examples/multichannel/chaos_multichannel_50.yaml	8	48000	48000	568b9600f16f82fd34d0421e19b4e166ca83afffc19a1075fa7beceb6ed33abd
examples/multichannel/drone_multichannel_21.yaml	8	48000	48000	7b6cc93ea765931c97cd2556d081fecf01167c25a8c8ad1dd7168a7977f9d69c
examples/multichannel/drone_multichannel_22.yaml	8	48000	48000	2498a2af7b4840e85aa18b5ec7ce969486c061db2659a5cc0c313aba352d8c63
examples/multichannel/drone_multichannel_24.yaml	8	48000	48000	5d15a7ef3da6e0fd0b87f75993242bf7fbf7322028f8350a4d7cb5f5cdf9290c
